"","ID_SSU","ndvi_km10c_shn","ndvi_km20c_shn"
"1",291,1.90398701843063,2.4224005185075
"3",303,1.9631539153358,2.43205182558574
"4",386,1.42255556601604,1.77291763822611
"5",390,0.876550511452062,1.43933947431268
"6",491,1.25475806895075,1.67849035478353
"7",495,1.23577895867003,1.79072874713318
"8",658,1.08662234269399,1.72263099180491
"9",666,1.0292169628394,1.35200913012287
"10",741,1.47725674919776,2.19003850040539
"11",745,1.87259555404139,2.16606965163396
"12",878,0.923501064574646,1.40147842838805
"13",886,1.4626965595638,1.99850403799244
"14",890,1.9872749571981,2.60344378735892
"15",1651,1.2259950717368,1.60094155726373
"16",1655,0.932187348774337,1.45104492620442
"17",1663,1.21180512131741,1.61458325475257
"18",1671,2.07046740175693,2.67562641636555
"19",1675,1.47576910303262,2.04160991028087
"20",1801,1.38026401322807,1.79389002908379
"21",1805,1.28772576546372,1.87425383189055
"22",1813,1.54851390892886,2.18694569261506
"23",1821,1.62336730942288,2.08805972654209
"24",1825,1.61184004256333,2.12736897744655
"25",1826,1.30017175022825,1.72295727387846
"26",1830,1.29259522673456,1.95098516319541
"27",1838,1.46201587278713,1.88868768719065
"28",1886,1.53135293832696,1.79819435337299
"29",1926,1.37367796183075,1.97517349541877
"31",1938,0.69849798538685,1.40995980520485
"32",2010,1.272193329453,1.91080313055951
"33",2018,1.65723926771358,2.1578181254168
"34",2066,1.35452001879625,1.87227666198978
"35",2070,1.34090615539786,1.85878917700711
"36",2078,1.42649410145022,1.80672858628422
"37",2286,1.11606014132076,1.77164953520229
"38",2290,1.89578143914931,2.53882273471439
"42",2536,0.729131648271031,1.5242982595248
"44",2548,1.79183522316646,2.46716375158545
"47",2766,1.70632482973717,2.26800522284978
"48",2770,1.0582566009775,1.81495981184409
"49",2801,0.988725654801702,1.41222333065443
"51",3045,1.36458461501432,1.94449754301526
"52",3053,1.62459091301118,2.17632865239165
"53",3281,1.43876695375339,1.93850786452646
"54",3285,1.39356987279593,2.00809001010759
"59",4296,1.99680177791693,2.55262580285157
"60",4300,1.99043709834302,2.52838383922522
"61",4316,1.51622741816063,2.17588898410406
"64",4448,1.90702246657686,2.52421269950931
"65",4456,1.45278386795781,1.97587122884312
"66",4460,1.85592928810661,2.51686342953008
"67",4528,1.0101793944945,1.74655754969638
"68",4536,1.14316014984789,1.88345548624516
"69",4540,1.25014045057834,1.79761655217846
"74",4710,1.89998002938657,2.49655767981595
"75",4733,1.57432680537727,2.23309522229886
"76",4761,1.6220732305095,2.11813642988444
"77",4765,0.866655818443383,1.46008147773275
"78",4773,1.65920425465777,2.14443397316731
"79",4881,0.930590655316317,1.2630585572629
"80",4885,1.14526187951629,1.76790767639051
"81",4893,1.99962070898495,2.59295012981898
"82",5001,1.35646176385615,1.92979188708752
"83",5005,1.77102105354618,2.27760369644308
"84",5011,1.32955440788593,2.00788983070004
"85",5015,1.71715642264842,2.25093058911094
"86",5041,1.62349622138035,2.22287593085439
"87",5281,1.5352083957409,2.13796795631435
"88",5285,1.10006343814499,1.63949784464529
"89",5293,1.71519500070369,2.33408633931154
"91",5490,1.71640440836121,2.3504782494395
"92",6111,1.6765631616721,2.27590743605927
"93",6115,1.71478898809384,2.28593137213534
"94",6123,1.5284386393109,1.99065363816948
"95",6156,1.51099357412311,2.19177393618081
"96",6160,1.79125063124501,2.38215234911481
"97",6168,1.39405194052027,2.07556825738202
"98",6321,1.69269775219165,2.2901144762513
"99",6325,1.70222720182326,2.31020261977684
"100",6351,1.87571738653103,2.45455502384293
"101",6355,1.62956511018454,2.28655101022456
"102",7176,0.371552998142559,0.860370846980776
"103",7180,1.92143819853332,2.40571009423451
"104",7308,1.07266189707417,1.64655917383363
"105",7316,1.44468554871252,2.13376966575697
"106",7320,1.05596749930591,1.75159909678849
"107",7546,1.5769762287445,2.06442381345711
"108",7550,1.53933428986487,2.14167359798266
"109",7558,0.819642979140604,1.0400450374077
"110",7631,1.80560681350566,2.39336358693029
"111",7635,1.47281138902697,1.92137407763877
