"","respVar","Estimate","Std..Error","z.value","Pr...z..","sig"
"(Intercept)","Sp_rich_sum",1.79556146659954,0.343417295390644,5.22851204846003,1.70879699969757e-07,1
"EFAamp_std","Sp_rich_sum",2.00669702098623,2.41029784526275,0.832551472810815,0.405097737057959,0
"EFAavg_std","Sp_rich_sum",-1.91141740761932,5.18718331401376,-0.368488501737621,0.712509017222867,0
"EFAmax_std","Sp_rich_sum",9.17798091881841,5.3092706244789,1.72867076628237,0.0838680362975165,0
"(Intercept)1","Hab_Woodland_sum",1.47475841868605,0.402532048393659,3.66370435489846,0.000248593707864064,1
"EFAamp_std1","Hab_Woodland_sum",1.6347051903507,2.83012177514868,0.577609488293068,0.563527799544557,0
"EFAavg_std1","Hab_Woodland_sum",3.56404201079127,6.12130660491723,0.582235499840555,0.560408064532992,0
"EFAmax_std1","Hab_Woodland_sum",5.44867309797929,6.21269287710834,0.877022767060608,0.380474272095908,0
"(Intercept)2","Hab_Farmland_sum",0.157690755240217,0.565484687096197,0.278859461340979,0.780352680047285,0
"EFAamp_std2","Hab_Farmland_sum",1.45254379229712,4.05554144400837,0.358162729280722,0.720221537281875,0
"EFAavg_std2","Hab_Farmland_sum",-5.31688402646172,8.73373065627806,-0.608775818228352,0.542673044169537,0
"EFAmax_std2","Hab_Farmland_sum",17.9965240517705,8.67369071508905,2.07484041602534,0.0380013274444179,1
"(Intercept)3","Hab_Meadow_grass_sum",0.760133163408699,0.707426295532619,1.07450510139208,0.282596359595915,0
"EFAavg_std3","Hab_Meadow_grass_sum",2.87601860300406,6.91878035297201,0.415682888642165,0.677642064058143,0
"EFAamp_std3","Hab_Meadow_grass_sum",2.37356066206603,8.30853056715847,0.285677550666795,0.775125100417273,0
"EFAstd_avg","Hab_Meadow_grass_sum",-1.90394208483435,7.34410428490113,-0.259247691886497,0.79544413575511,0
"(Intercept)4","Hab_Upland_sum",1.55900605558668,0.554554589778294,2.81127608412718,0.0049345423944405,1
"EFAamp_std4","Hab_Upland_sum",8.14082161233337,6.66985553115558,1.22053942162716,0.222260454819304,0
"EFAstd_avg1","Hab_Upland_sum",-9.92193509665326,6.14081344334129,-1.61573628448394,0.106151342466201,0
"EFAavg_std4","Hab_Upland_sum",0.69984182043212,5.53979801399479,0.126329844276661,0.899470833184424,0
"(Intercept)5","Hab_Wetlands_sum",-0.727402135201067,0.897394324806297,-0.810571356530561,0.417611871544365,0
"EFAamp_avg","Hab_Wetlands_sum",0.984166212467592,2.57923334458989,0.381573157981981,0.702777997233559,0
"EFAamp_std5","Hab_Wetlands_sum",2.6290987849434,8.08478422901249,0.325190964962157,0.745036546321471,0
"EFAavg_avg","Hab_Wetlands_sum",2.68516488333433,2.06809908204847,1.29837342255123,0.1941590473341,0
"(Intercept)6","Hab_Urban_suburb_sum",1.27469730099512,0.394499102232238,3.23117921886859,0.00123280614924951,1
"EFAavg_std5","Hab_Urban_suburb_sum",6.8701988709034,6.03864245843023,1.13770585329361,0.255243328471905,0
"EFAamp_std6","Hab_Urban_suburb_sum",3.13011252648681,2.72128855693516,1.15023176006446,0.250048428388806,0
"EFAmax_std3","Hab_Urban_suburb_sum",3.81421639223634,6.05396912706139,0.630035653004356,0.528671257946422,0
"(Intercept)7","Hab_Heathland_sum",1.70147641220206,0.517923879249508,3.28518626070604,0.00101914974167272,1
"EFAstd_avg2","Hab_Heathland_sum",-4.68144035455041,5.53236086445239,-0.846192153630201,0.397445558386676,0
"EFAavg_std6","Hab_Heathland_sum",-2.55479679041119,5.30950337265415,-0.481174341760345,0.630392595136808,0
"EFAamp_std7","Hab_Heathland_sum",5.56313160326417,6.15427077970323,0.903946511682808,0.366023764463152,0
"(Intercept)8","Feed_Frugiverous_sum",1.38093589657733,0.560298979151749,2.4646411076243,0.0137150548499227,1
"EFAamp_std8","Feed_Frugiverous_sum",4.55246533146025,3.61379057582357,1.25974796711145,0.2077602956099,0
"EFAavg_std7","Feed_Frugiverous_sum",6.67865383426766,4.61921478863072,1.44584180209715,0.148221578394129,0
"EFAavg_avg1","Feed_Frugiverous_sum",-0.602177410163237,1.48069987432153,-0.406684312335179,0.684239863951174,0
"(Intercept)9","Feed_Granivorous_sum",1.48414521596478,0.392122010068361,3.78490668173928,0.000153766266181782,1
"EFAamp_std9","Feed_Granivorous_sum",3.47400952294826,4.55591383579843,0.762527485847289,0.445745245032906,0
"EFAavg_std8","Feed_Granivorous_sum",8.04125234270796,3.69576300548607,2.17580302924494,0.0295699920900501,1
"EFAstd_avg3","Feed_Granivorous_sum",-2.22350649525076,4.03118981992825,-0.551575736835516,0.581239063689853,0
"(Intercept)10","Feed_Insectivorous_sum",2.10296681508874,0.318215023426287,6.60863460324926,3.87880770973077e-11,1
"EFAamp_std10","Feed_Insectivorous_sum",4.23379002493022,3.70141106432359,1.14383135278814,0.252693584581782,0
"EFAavg_std9","Feed_Insectivorous_sum",2.4146434884934,3.15031933330878,0.766475786426799,0.443393253911968,0
"EFAstd_avg4","Feed_Insectivorous_sum",-0.939517708351352,3.27826496381059,-0.286589924463968,0.774426330080153,0
"(Intercept)11","Feed_Omnivorous_sum",-4.12040356092186,1.82965922624176,-2.25200600298966,0.0243218926646256,1
"EFAstd_std","Feed_Omnivorous_sum",-23.0021522713554,44.8631424347574,-0.512718258753419,0.608148415621597,0
"EFAamp_avg1","Feed_Omnivorous_sum",-5.72476518792041,6.50581404627632,-0.879946021696861,0.378888551803079,0
"EFAmax_avg","Feed_Omnivorous_sum",10.1588166800248,3.93006704566383,2.58489653280429,0.00974082237242168,1
