"varName","freq","relfreq"
"EFAmax_std",22,88
"eft_count",15,60
"shannon",14,56
"EFAamp_std",9,36
"EFAsemax_std",7,28
"EFAavg_std",4,16
"EFAmin_avg",4,16
"evar",3,12
"EFAmin_std",2,8
"EFAstd_avg",2,8
"EFAamp_avg",2,8
"EFAmax_avg",1,4
"EFAavg_avg",1,4
"EFAstd_std",0,0
"EFAsemax_avg",0,0
