"","ID_PSU","ID_SSU","PSU_codes","NDVI_med_mn","NDVI_med_sd","NDVI_max_mn","NDVI_max_sd","NDVI_MAD_mn","NDVI_MAD_sd"
"1",15,291,15,0.481568076238036,0.100856872168993,2.11295014053583,5.00397355639154,0.275325453449041,0.0696161428612158
"2",15,295,15,0.375921636372805,0.0597918101462694,0.892110890597105,0.0865920531259105,0.353273041918874,0.0831755088461676
"3",15,386,15,0.553456464409828,0.0412892941613172,1.06295065075159,0.134027687424405,0.278752714656293,0.0600247168724671
"4",15,390,15,0.686333186775446,0.0358795921105927,3.10508365690708,4.29056265401671,0.213201031945646,0.0265023896456816
"5",15,303,15,0.48989876203239,0.089166242780741,0.933657106757164,0.129267926321174,0.290214762724936,0.0734622580305503
"6",26,491,26,0.542066730856895,0.0523419984207819,0.888533332794905,0.0987397837734639,0.352638163082302,0.0553206448277779
"7",26,495,26,0.496402453556657,0.0396372270567999,0.902839467823505,0.0705249404047493,0.350496373362839,0.0586257008882391
"8",26,666,26,0.544990653470159,0.0570306523433566,9.71640480533242,33.8635423718072,0.386214981898665,0.0553455752297106
"9",26,658,26,0.53015348546207,0.0590722278934479,2.1595655220747,13.0794219347795,0.399336794689298,0.0790722082082391
"10",33,741,33,0.606738618835807,0.072058053133735,17.2519428525865,41.8748174947216,0.25114570569247,0.0488034462236216
"11",33,745,33,0.410559992641211,0.113929417463183,4.34515746094286,15.6866435474338,0.249028937667608,0.0529560458093419
"12",33,886,33,0.644345125555992,0.106113791550327,2.47594989061356,0.758222472293675,0.218518131617457,0.0749894452608561
"13",33,890,33,0.498141782656312,0.177588678934564,3.6643882407248,4.49705756874475,0.220233422433957,0.0890633347546623
"14",33,878,33,0.671451457589865,0.0314211561339474,16.7380687585473,44.8617367216488,0.198815657962114,0.0470326784561526
"15",67,1651,67,0.65459591768682,0.0566356642009629,11.2340937194228,36.9142957993588,0.305790237300098,0.0633831625592685
"16",67,1655,67,0.531857818216085,0.0422824726579305,1.85467897593975,8.22611357248513,0.403850538544357,0.0745672205526191
"17",67,1671,67,0.479413657672703,0.110843921299542,12.2041029985994,41.452461927268,0.302623887397349,0.0954554424256841
"18",67,1675,67,0.506431336849928,0.0686259471973244,3.14260511413217,9.17057001336141,0.269173653759062,0.0455619021495257
"19",67,1663,67,0.610466065779328,0.0609469084257629,4.75257418185473,15.4475398605425,0.325045858770609,0.0651302734554216
"20",73,1801,73,0.341220074258745,0.0797472236581092,4.97427234098315,29.4032977450153,0.199140883348882,0.0424561620536882
"21",73,1805,73,0.404880584850907,0.113977668996964,3.09082199163735,14.8054508431749,0.177988700922579,0.0419969268033167
"22",73,1821,73,0.383918603286147,0.120280482341075,0.634568479210138,0.148622676132368,0.202210851125419,0.06186125047409
"23",73,1825,73,0.446907662898302,0.0834694794894958,0.811381073370576,0.220856989341889,0.238136077411473,0.0567002651539857
"24",73,1813,73,0.597511968538165,0.057769417191924,2.27798379957676,15.1490398439829,0.263385620601475,0.0698681189784567
"25",74,1826,74,0.370360004939139,0.0975772319371052,1.91693915598094,5.94331959448318,0.17954120863229,0.0418639803843519
"26",74,1830,74,0.335457647256553,0.0991978126821583,1.29020001724362,0.660383056970126,0.207570961043239,0.0973962931332659
"27",74,1886,74,0.390469705276191,0.083554259735609,0.810577665865421,0.123706771942664,0.217406865973026,0.038849651875533
"28",74,1838,74,0.43336953677237,0.0957601032219701,1.46314059361815,6.04731461601582,0.210184585265815,0.046297352044289
"29",78,1926,78,0.563937241584063,0.0689421309053509,0.87265222504735,0.0902741297673982,0.221920482814312,0.0445464772182777
"30",78,1930,78,0.512784974575043,0.0727581037860095,1.83864114359021,1.80525735794196,0.336851357370615,0.065702438556872
"31",78,2286,78,0.608409519791603,0.0362908373387728,0.927171214967966,0.0883608694396918,0.264936031531543,0.0518542176948666
"32",78,2290,78,0.597122151404619,0.116934868596879,1.57852520599961,1.44226668257769,0.250868588406593,0.0599098389183805
"33",78,1938,78,0.557740137055516,0.0330788590993258,6.22398221716285,31.4251976270284,0.210826346948743,0.0488375459016475
"34",82,2010,82,0.471759122312069,0.0677356649087198,0.773253930211067,0.121057552401932,0.207621778789908,0.0521583900784162
"35",82,2306,82,0.527711562216282,0.0700155183153136,6.22305048599839,15.9038785727663,0.284597711823881,0.0561881382402739
"36",82,2018,82,0.484494506940246,0.0958268810507902,1.4313831679523,0.396672505512019,0.353168218508363,0.0787083876744462
"37",85,2066,85,0.602761145606637,0.0810550164132036,3.75189507618546,9.27382897126879,0.334772775173187,0.0640659418678537
"38",85,2070,85,0.654497393593192,0.0774461131771231,10.6526970432699,39.524453520373,0.272930626943707,0.0585673462414173
"39",85,2321,85,0.487726549506187,0.0753829328480527,2.97628152057528,12.7791978104098,0.265778786744922,0.0523476738908262
"40",85,2325,85,0.459404320493341,0.0839638444513561,2.54752962231636,9.34970399123982,0.324526286460459,0.110741584655449
"41",85,2078,85,0.505858254060149,0.0443594637141299,5.83231682434678,19.4540203236307,0.287571896910667,0.0549801132314799
"42",104,2536,104,0.65314778894186,0.0320439128778993,1.43888820201159,0.302985672325004,0.220530982799828,0.0299451709792158
"43",104,2540,104,0.475075657516718,0.108331832632792,2.92635388210416,5.50580880599498,0.338047681190074,0.0871105417823494
"44",104,2766,104,0.482009108737111,0.114442121889352,4.49099187895656,32.5478619252471,0.199592169290408,0.0490462404210022
"45",104,2770,104,0.686440700888634,0.0752644927180763,7.11722238898277,28.6127007641373,0.198545305225998,0.0447600501764226
